,Tubular,Diffuse,Fragmented,Condensed,Nuc_Solidity,Gene,Metadata_BaseFileName,FileName_ColorImage,Location_Center_X,Location_Center_Y,Mean_Golgi_AreaShape_Center_X,Mean_Golgi_AreaShape_Center_Y,Mean_Nuclei_AreaShape_Solidity,Metadata_U,Metadata_V,Metadata_X,Metadata_Y,ImageQuality_PowerLogLogSlope_Dna,Intensity_IntegratedIntensity_GolgiBGCorr,Mean_Nuclei_Math_CV,Math_Blobness,Math_Diffuseness,Children_Golgi_Count,Mean_MaxAreaGolgi_AreaShape_FormFactor,img_name,img_name_raw
4,0.14956900430152212,0.08254782216856973,-0.9314584603883439,-0.22954921609200693,-0.22437843258461607,UMO,image--L0000--S00--U00--V00--J07--E00--O01--X00--Y02--T0000--Z00,image--L0000--S00--U00--V00--J07--E00--O01--X00--Y02--T0000--Z00--colorImage.png,373.18551925889807,373.9463676255485,359.0,395.0,0.9352517985611508,0,0,0,2,-1.7008966988799998,161.77884773164988,0.1756328085268189,0.7794030876827805,0.6603035739671607,1,0.5503913781021077,Z:\lleti\AUTOCLEM\05042019_NOSPOTS_COPB1\crops\image--L0000--S00--U00--V00--J07--E00--O01--X00--Y02--T0000--Z00--colorImage_5.png,./crops/image--L0000--S00--U00--V00--J07--E00--O01--X00--Y02--T0000--Z00--colorImage_5.png
14,0.9012824285961322,0.4288347356372722,-0.9314584603883439,1.9350956805192614,0.5119426461716857,UMO,image--L0000--S00--U00--V00--J07--E00--O01--X00--Y02--T0000--Z00,image--L0000--S00--U00--V00--J07--E00--O01--X00--Y02--T0000--Z00--colorImage.png,425.4348868175766,651.7264980026631,441.0,665.0,0.9567627494456762,0,0,0,2,-1.7008966988799998,150.59907165169716,0.22342149171178632,0.8537682959287066,0.7153143400166067,1,0.9532255572184086,Z:\lleti\AUTOCLEM\05042019_NOSPOTS_COPB1\crops\image--L0000--S00--U00--V00--J07--E00--O01--X00--Y02--T0000--Z00--colorImage_19.png,./crops/image--L0000--S00--U00--V00--J07--E00--O01--X00--Y02--T0000--Z00--colorImage_19.png
15,-2.144111269925705,0.40532371572535797,-0.9314584603883439,-2.073428829526003,0.578788706693749,UMO,image--L0000--S00--U00--V00--J07--E00--O01--X00--Y03--T0000--Z00,image--L0000--S00--U00--V00--J07--E00--O01--X00--Y03--T0000--Z00--colorImage.png,459.14374199060234,110.64395557454081,450.0,120.0,0.9587155963302756,0,0,0,3,-1.64284433803,250.3080680444837,0.23962580584924015,0.5524947929392892,0.7115794047197374,1,0.2072506940897888,Z:\lleti\AUTOCLEM\05042019_NOSPOTS_COPB1\crops\image--L0000--S00--U00--V00--J07--E00--O01--X00--Y03--T0000--Z00--colorImage_20.png,./crops/image--L0000--S00--U00--V00--J07--E00--O01--X00--Y03--T0000--Z00--colorImage_20.png
26,0.49859243010655163,-0.3160672674794688,0.05113017801654398,0.18126131089002837,-0.5551079409031563,UMO,image--L0000--S00--U00--V00--J07--E00--O01--X00--Y07--T0000--Z00,image--L0000--S00--U00--V00--J07--E00--O01--X00--Y07--T0000--Z00--colorImage.png,408.4745437079731,387.1095100864552,410.0,385.5,0.925589836660617,0,0,0,7,-2.06105548396,139.72200163081288,0.2776524904970807,0.8139311390702535,0.5969800102183704,2,0.6268420336660822,Z:\lleti\AUTOCLEM\05042019_NOSPOTS_COPB1\crops\image--L0000--S00--U00--V00--J07--E00--O01--X00--Y07--T0000--Z00--colorImage_36.png,./crops/image--L0000--S00--U00--V00--J07--E00--O01--X00--Y07--T0000--Z00--colorImage_36.png
30,-1.905691698123445,0.9227181213746876,-0.9314584603883439,-1.1422888932855448,0.7502926887889804,UMO,image--L0000--S00--U00--V00--J07--E00--O01--X00--Y07--T0000--Z00,image--L0000--S00--U00--V00--J07--E00--O01--X00--Y07--T0000--Z00--colorImage.png,355.7428571428572,616.9078341013825,350.0,609.0,0.9637259292431706,0,0,0,7,-2.06105548396,311.138637278229,0.3865949611451901,0.5760810700150473,0.7937721226580658,1,0.3805331536955363,Z:\lleti\AUTOCLEM\05042019_NOSPOTS_COPB1\crops\image--L0000--S00--U00--V00--J07--E00--O01--X00--Y07--T0000--Z00--colorImage_40.png,./crops/image--L0000--S00--U00--V00--J07--E00--O01--X00--Y07--T0000--Z00--colorImage_40.png
43,0.40170217876705044,0.09792923543594258,-0.9314584603883439,-0.8189278173452823,0.8058691172492741,UMO,image--L0000--S00--U00--V00--J07--E00--O01--X00--Y16--T0000--Z00,image--L0000--S00--U00--V00--J07--E00--O01--X00--Y16--T0000--Z00--colorImage.png,92.44307872402693,443.5250219490782,65.0,444.0,0.9653495440729484,0,0,0,16,-1.28788659999,201.93831045180562,0.28977988496000473,0.8043460186174382,0.6627470487097826,1,0.4407097183544703,Z:\lleti\AUTOCLEM\05042019_NOSPOTS_COPB1\crops\image--L0000--S00--U00--V00--J07--E00--O01--X00--Y16--T0000--Z00--colorImage_59.png,./crops/image--L0000--S00--U00--V00--J07--E00--O01--X00--Y16--T0000--Z00--colorImage_59.png
47,0.4828951413122747,0.14824412710313142,-0.9314584603883439,-0.25318715061700575,0.5752759860916365,UMO,image--L0000--S00--U00--V00--J07--E00--O01--X00--Y17--T0000--Z00,image--L0000--S00--U00--V00--J07--E00--O01--X00--Y17--T0000--Z00--colorImage.png,44.61720904578048,413.5093767236625,24.0,420.0,0.9586129753914988,0,0,0,17,-1.74942465495,146.08280572667718,0.19641048580777085,0.812378243894571,0.6707400182002601,1,0.5459924265857229,Z:\lleti\AUTOCLEM\05042019_NOSPOTS_COPB1\crops\image--L0000--S00--U00--V00--J07--E00--O01--X00--Y17--T0000--Z00--colorImage_63.png,./crops/image--L0000--S00--U00--V00--J07--E00--O01--X00--Y17--T0000--Z00--colorImage_63.png
51,0.24530431922379803,0.47669918177575193,-0.9314584603883439,-0.730610628457116,0.6988537409182956,UMO,image--L0000--S00--U00--V00--J07--E00--O01--X00--Y20--T0000--Z00,image--L0000--S00--U00--V00--J07--E00--O01--X00--Y20--T0000--Z00--colorImage.png,366.2370645227788,71.64790764790766,393.0,94.0,0.9622231871471995,0,0,0,20,-1.8428853288599998,197.12275667488572,0.2492469535712948,0.7888739530426283,0.7229180343700411,1,0.4571452927728516,Z:\lleti\AUTOCLEM\05042019_NOSPOTS_COPB1\crops\image--L0000--S00--U00--V00--J07--E00--O01--X00--Y20--T0000--Z00--colorImage_68.png,./crops/image--L0000--S00--U00--V00--J07--E00--O01--X00--Y20--T0000--Z00--colorImage_68.png
69,0.9173375104947066,0.1829833866733028,-0.9314584603883439,-0.5746573797887927,-1.268049240720594,UMO,image--L0000--S00--U00--V00--J07--E00--O01--X00--Y21--T0000--Z00,image--L0000--S00--U00--V00--J07--E00--O01--X00--Y21--T0000--Z00--colorImage.png,617.3716012084592,562.6525679758308,599.0,537.0,0.9047619047619048,0,0,0,21,-2.05757319349,298.88641940057283,0.12089528760097935,0.855356586719061,0.676258659554053,1,0.4861677430630464,Z:\lleti\AUTOCLEM\05042019_NOSPOTS_COPB1\crops\image--L0000--S00--U00--V00--J07--E00--O01--X00--Y21--T0000--Z00--colorImage_88.png,./crops/image--L0000--S00--U00--V00--J07--E00--O01--X00--Y21--T0000--Z00--colorImage_88.png
71,1.2227505963560081,0.5427824707879148,0.05113017801654398,1.3390961064145308,0.3892110527142374,UMO,image--L0000--S00--U00--V00--J07--E00--O01--X00--Y23--T0000--Z00,image--L0000--S00--U00--V00--J07--E00--O01--X00--Y23--T0000--Z00--colorImage.png,586.2494994994995,45.96246246246246,593.5,62.5,0.9531772575250836,0,0,0,23,-1.33904412445,330.82075663283473,0.2883824965667636,0.8855703716496934,0.7334159544768446,2,0.8423117534975298,Z:\lleti\AUTOCLEM\05042019_NOSPOTS_COPB1\crops\image--L0000--S00--U00--V00--J07--E00--O01--X00--Y23--T0000--Z00--colorImage_93.png,./crops/image--L0000--S00--U00--V00--J07--E00--O01--X00--Y23--T0000--Z00--colorImage_93.png
