,Tubular,Diffuse,Fragmented,Condensed,Nuc_Solidity,Gene,Metadata_BaseFileName,FileName_ColorImage,Location_Center_X,Location_Center_Y,Mean_Golgi_AreaShape_Center_X,Mean_Golgi_AreaShape_Center_Y,Mean_Nuclei_AreaShape_Solidity,Metadata_U,Metadata_V,Metadata_X,Metadata_Y,ImageQuality_PowerLogLogSlope_Dna,Intensity_IntegratedIntensity_GolgiBGCorr,Mean_Nuclei_Math_CV,Math_Blobness,Math_Diffuseness,Children_Golgi_Count,Mean_MaxAreaGolgi_AreaShape_FormFactor,img_path,img_name_raw
5,0.8880340161339714,0.8274203726418415,-0.9275822122373055,0.772609541650699,0.14814420750999058,UMO,image--L0000--S00--U00--V00--J07--E00--O01--X00--Y02--T0000--Z00,image--L0000--S00--U00--V00--J07--E00--O01--X00--Y02--T0000--Z00--colorImage.png,318.5741641337386,520.9407294832827,310.0,526.0,0.946964856230032,0,0,0,2,-1.70089669888,202.78618397563696,0.2891037766311201,0.8507961211350118,0.7803322034826464,1,0.7360617750996467,C:\Users\serra\Desktop\CLEMSite Paper\Latest\clemsite-notebooks\6_feedback_light_microscopy_phenotypes\one_phenotype\data\crops\image--L0000--S00--U00--V00--J07--E00--O01--X00--Y02--T0000--Z00--colorImage_11.png,.\data\crops\image--L0000--S00--U00--V00--J07--E00--O01--X00--Y02--T0000--Z00--colorImage_11.png
77,-0.535546873840868,0.8883591719796678,1.0375532992551304,-1.9625196086446997,0.7724179878663557,UMO,image--L0000--S00--U00--V00--J07--E00--O01--X00--Y30--T0000--Z00,image--L0000--S00--U00--V00--J07--E00--O01--X00--Y30--T0000--Z00--colorImage.png,244.05790190735692,412.3153950953678,245.0,404.66666666666663,0.9648946840521564,0,0,0,30,-1.70035362786,295.99103002622724,0.3732016507780067,0.7113929230888024,0.7900247122955848,3,0.2246294559560551,C:\Users\serra\Desktop\CLEMSite Paper\Latest\clemsite-notebooks\6_feedback_light_microscopy_phenotypes\one_phenotype\data\crops\image--L0000--S00--U00--V00--J07--E00--O01--X00--Y30--T0000--Z00--colorImage_111.png,.\data\crops\image--L0000--S00--U00--V00--J07--E00--O01--X00--Y30--T0000--Z00--colorImage_111.png
81,0.26656220392075475,0.7429357216844487,0.05498554350891248,-0.9489321110465925,0.7641993075800642,UMO,image--L0000--S00--U00--V00--J07--E00--O01--X00--Y30--T0000--Z00,image--L0000--S00--U00--V00--J07--E00--O01--X00--Y30--T0000--Z00--colorImage.png,33.498971616618675,548.2464006581654,24.0,517.0,0.9646586345381528,0,0,0,30,-1.70035362786,119.55100229009986,0.1482990846950714,0.7899389132810718,0.766894652482946,2,0.4141566687736156,C:\Users\serra\Desktop\CLEMSite Paper\Latest\clemsite-notebooks\6_feedback_light_microscopy_phenotypes\one_phenotype\data\crops\image--L0000--S00--U00--V00--J07--E00--O01--X00--Y30--T0000--Z00--colorImage_115.png,.\data\crops\image--L0000--S00--U00--V00--J07--E00--O01--X00--Y30--T0000--Z00--colorImage_115.png
115,0.5624808865950441,0.804474527042477,-0.9275822122373055,0.09422188168428737,0.6983979277359111,UMO,image--L0000--S00--U00--V00--J07--E00--O01--X01--Y02--T0000--Z00,image--L0000--S00--U00--V00--J07--E00--O01--X01--Y02--T0000--Z00--colorImage.png,440.84313146233376,652.3078286558346,445.0,643.0,0.9627687467226012,0,0,1,2,-1.57737579347,136.99838792160153,0.2939860170057408,0.8189165506018049,0.7766825941515004,1,0.609212418030879,C:\Users\serra\Desktop\CLEMSite Paper\Latest\clemsite-notebooks\6_feedback_light_microscopy_phenotypes\one_phenotype\data\crops\image--L0000--S00--U00--V00--J07--E00--O01--X01--Y02--T0000--Z00--colorImage_162.png,.\data\crops\image--L0000--S00--U00--V00--J07--E00--O01--X01--Y02--T0000--Z00--colorImage_162.png
133,-1.0843045207211668,1.009567199500342,0.05498554350891248,1.1834671043877318,0.33512322378645254,UMO,image--L0000--S00--U00--V00--J07--E00--O01--X01--Y07--T0000--Z00,image--L0000--S00--U00--V00--J07--E00--O01--X01--Y07--T0000--Z00--colorImage.png,52.11039518900344,579.356529209622,61.0,577.0,0.952335098700048,0,0,1,7,-1.71496169356,208.754674077034,0.1883560236582844,0.65765620080899,0.8093032325110918,2,0.8128866066165022,C:\Users\serra\Desktop\CLEMSite Paper\Latest\clemsite-notebooks\6_feedback_light_microscopy_phenotypes\one_phenotype\data\crops\image--L0000--S00--U00--V00--J07--E00--O01--X01--Y07--T0000--Z00--colorImage_183.png,.\data\crops\image--L0000--S00--U00--V00--J07--E00--O01--X01--Y07--T0000--Z00--colorImage_183.png
137,-0.6290212594683535,1.0331190479148689,1.0375532992551304,0.9322474440674724,0.4688298193259987,UMO,image--L0000--S00--U00--V00--J07--E00--O01--X01--Y14--T0000--Z00,image--L0000--S00--U00--V00--J07--E00--O01--X01--Y14--T0000--Z00--colorImage.png,232.73902537253323,409.0507450664519,229.0,410.33333333333326,0.9561752988047808,0,0,1,14,-1.89838084978,408.5018396601081,0.2425139515071535,0.7022395069509204,0.8130492285070631,3,0.7659119131260032,C:\Users\serra\Desktop\CLEMSite Paper\Latest\clemsite-notebooks\6_feedback_light_microscopy_phenotypes\one_phenotype\data\crops\image--L0000--S00--U00--V00--J07--E00--O01--X01--Y14--T0000--Z00--colorImage_190.png,.\data\crops\image--L0000--S00--U00--V00--J07--E00--O01--X01--Y14--T0000--Z00--colorImage_190.png
186,-0.2910608105986826,0.756513250408104,0.05498554350891248,1.3603007367997688,-2.183412144534756,UMO,image--L0000--S00--U00--V00--J07--E00--O01--X02--Y01--T0000--Z00,image--L0000--S00--U00--V00--J07--E00--O01--X02--Y01--T0000--Z00--colorImage.png,574.3921217547,42.613921217547,560.5,35.0,0.8799999999999998,0,0,2,1,-1.79907458941,341.0198949240148,0.2091040792271872,0.7353340558573737,0.7690542013785913,2,0.8459521145897934,C:\Users\serra\Desktop\CLEMSite Paper\Latest\clemsite-notebooks\6_feedback_light_microscopy_phenotypes\one_phenotype\data\crops\image--L0000--S00--U00--V00--J07--E00--O01--X02--Y01--T0000--Z00--colorImage_251.png,.\data\crops\image--L0000--S00--U00--V00--J07--E00--O01--X02--Y01--T0000--Z00--colorImage_251.png
191,-1.599803617030422,0.7564595391853052,-0.9275822122373055,-1.095834837903163,0.7087887505750906,UMO,image--L0000--S00--U00--V00--J07--E00--O01--X02--Y02--T0000--Z00,image--L0000--S00--U00--V00--J07--E00--O01--X02--Y02--T0000--Z00--colorImage.png,188.4507575757576,562.1063311688312,180.0,548.0,0.9630671825536404,0,0,2,2,-1.61828865019,262.5060487948358,0.4176336295489486,0.6071762996516268,0.7690456584386911,1,0.3866878370818254,C:\Users\serra\Desktop\CLEMSite Paper\Latest\clemsite-notebooks\6_feedback_light_microscopy_phenotypes\one_phenotype\data\crops\image--L0000--S00--U00--V00--J07--E00--O01--X02--Y02--T0000--Z00--colorImage_258.png,.\data\crops\image--L0000--S00--U00--V00--J07--E00--O01--X02--Y02--T0000--Z00--colorImage_258.png
193,-0.25520912872802687,0.627998613800351,0.05498554350891248,-0.88895491143116,-1.1898364001641772,UMO,image--L0000--S00--U00--V00--J07--E00--O01--X02--Y02--T0000--Z00,image--L0000--S00--U00--V00--J07--E00--O01--X02--Y02--T0000--Z00--colorImage.png,87.39483010214718,614.3629351678132,103.5,615.0,0.9085365853658534,0,0,2,2,-1.61828865019,149.99693412706256,0.339251794980999,0.738844807612543,0.7486135418735225,2,0.4253715974331072,C:\Users\serra\Desktop\CLEMSite Paper\Latest\clemsite-notebooks\6_feedback_light_microscopy_phenotypes\one_phenotype\data\crops\image--L0000--S00--U00--V00--J07--E00--O01--X02--Y02--T0000--Z00--colorImage_260.png,.\data\crops\image--L0000--S00--U00--V00--J07--E00--O01--X02--Y02--T0000--Z00--colorImage_260.png
208,-1.6569642937715703,-2.0561882280814237,1.0375532992551304,0.5151469076616326,-0.02284251414211269,UMO,image--L0000--S00--U00--V00--J07--E00--O01--X02--Y03--T0000--Z00,image--L0000--S00--U00--V00--J07--E00--O01--X02--Y03--T0000--Z00--colorImage.png,601.1498602997206,580.1828803657608,587.6666666666665,578.6666666666665,0.9420539300057372,0,0,2,3,-1.64171583657,72.66889151185751,0.1562157656670342,0.6015788789526579,0.3216851333191515,3,0.6879197296025904,C:\Users\serra\Desktop\CLEMSite Paper\Latest\clemsite-notebooks\6_feedback_light_microscopy_phenotypes\one_phenotype\data\crops\image--L0000--S00--U00--V00--J07--E00--O01--X02--Y03--T0000--Z00--colorImage_278.png,.\data\crops\image--L0000--S00--U00--V00--J07--E00--O01--X02--Y03--T0000--Z00--colorImage_278.png
